transaction_id,case_id,timestamp_min,source_account,destination_account,amount_inr,channel,city,state,sequence_step,transaction_role,is_fraud_linked
FTX_00000000,CASE_000000,64911,ACC_0074953,ACC_0059666,54749.08,UPI,Chennai,Tamil Nadu,1,VICTIM_TO_MULE,1
FTX_00000001,CASE_000001,130543,ACC_0092104,ACC_0006861,91989.23,UPI,Nashik,Maharashtra,1,VICTIM_TO_MULE,1
FTX_00000002,CASE_000001,130593,ACC_0062967,ACC_0006861,10878.52,UPI,Nashik,Maharashtra,1,FAN_IN,1
FTX_00000003,CASE_000001,130617,ACC_0026907,ACC_0006861,17346.34,UPI,Nashik,Maharashtra,2,FAN_IN,1
FTX_00000004,CASE_000001,130587,ACC_0085887,ACC_0006861,33201.64,UPI,Nashik,Maharashtra,3,FAN_IN,1
FTX_00000005,CASE_000001,130604,ACC_0023379,ACC_0006861,27203.23,UPI,Nashik,Maharashtra,4,FAN_IN,1
FTX_00000006,CASE_000001,130586,ACC_0082367,ACC_0006861,3359.5,UPI,Nashik,Maharashtra,5,FAN_IN,1
FTX_00000007,CASE_000002,166688,ACC_0085518,ACC_0065963,141483.17,UPI,Pune,Maharashtra,1,VICTIM_TO_MULE,1
FTX_00000008,CASE_000002,166778,ACC_0065963,ACC_0068780,120260.69,IMPS,Bengaluru,Karnataka,2,CROSS_STATE,1
FTX_00000009,CASE_000003,172931,ACC_0023645,ACC_0012961,51286.89,UPI,Hyderabad,Telangana,1,VICTIM_TO_MULE,1
FTX_00000010,CASE_000003,173011,ACC_0012961,ACC_0014473,46158.2,IMPS,Hyderabad,Telangana,2,DIGITAL_ASSET_PROXY,1
FTX_00000011,CASE_000004,102700,ACC_0021422,ACC_0079756,72454.71,UPI,Pune,Maharashtra,1,VICTIM_TO_MULE,1
FTX_00000012,CASE_000004,102770,ACC_0079756,ACC_0040168,61586.5,IMPS,Pune,Maharashtra,2,ADAPTIVE_REROUTE,1
FTX_00000013,CASE_000005,4262,ACC_0010428,ACC_0091541,10182.33,UPI,Pune,Maharashtra,1,VICTIM_TO_MULE,1
FTX_00000014,CASE_000006,230784,ACC_0003420,ACC_0015917,264977.13,UPI,Hyderabad,Telangana,1,VICTIM_TO_MULE,1
FTX_00000015,CASE_000006,230812,ACC_0015917,ACC_0073122,252646.29,IMPS,Hyderabad,Telangana,2,MULE_HOP,1
FTX_00000016,CASE_000006,230829,ACC_0073122,ACC_0071390,240725.04,IMPS,Hyderabad,Telangana,3,MULE_HOP,1
